Streamer_ID,Channel,Watch_time,Stream_time,Peak_viewers,Avg_viewers,Subscribers_End,Subscribers_Beg,Subscribers_gained,Viewers_Gained,Partnered,Mature,Language
84,SypherPK,16940836,2421,130401,6553,3611359,2493190,1118169,26996445,TRUE,FALSE,English
85,ZeratoR,16850217,1416,262273,10516,880728,640286,240442,31456198,TRUE,TRUE,French
86,SilverName,16776812,1594,29927,10618,614395,505929,108466,27464678,TRUE,FALSE,Russian
87,Sacriel,16711352,2718,66781,5573,672403,536062,136341,60194490,TRUE,FALSE,English
88,dakotaz,16315786,2210,43397,7112,4520305,4031055,489250,18504106,TRUE,FALSE,English
89,Stray228,16216028,1563,36971,10290,773712,576226,197486,23738903,TRUE,FALSE,Russian
90,AdmiralBulldog,16205292,2581,16681,6198,694253,627740,66513,17095676,TRUE,TRUE,English
91,pokimane,16072234,942,112160,16026,5367605,3281774,2085831,45579002,TRUE,FALSE,English
92,lestream,15922447,4223,47638,3652,883706,759686,124020,25815105,TRUE,FALSE,French
93,ybicanoooobov,15646941,1913,17036,8255,523512,421575,101937,16237397,TRUE,FALSE,Russian
94,Method,15085126,3849,148350,4135,401400,269292,132108,22813009,TRUE,FALSE,English
95,Nightblue3,14986931,1983,17738,7234,2641880,2466750,175130,19181711,TRUE,FALSE,English
96,EsfandTV,14815649,3151,29597,4393,471970,255949,216021,24144005,TRUE,FALSE,English
97,shroud,14808420,504,471281,29612,7744066,6910479,833587,30621257,TRUE,FALSE,English
98,NOBRU,14803521,644,132224,22070,1549722,149683,1400039,6781403,TRUE,FALSE,Portuguese
99,buster,14739230,988,97838,14195,1087377,35324,1052053,37351933,TRUE,FALSE,Russian
100,Scarra,14402628,2306,27421,6060,1242014,908924,333090,15626904,TRUE,FALSE,English
101,Baiano,14328642,1431,107069,9229,425797,62454,363343,19412227,TRUE,FALSE,Portuguese
102,tmxk319,14299195,1940,71933,7173,427926,60440,367486,17151766,TRUE,FALSE,Korean
103,WePlayEsport_RU,14222077,1550,115737,8627,346934,103797,243137,28789066,TRUE,FALSE,Russian
104,elded,14217490,1849,44758,7699,2601858,1493436,1108422,14789437,TRUE,FALSE,Spanish
105,LPL,14177272,813,146577,17573,502467,221929,280538,31029241,TRUE,FALSE,English
106,juansguarnizo,14151389,2063,45631,6039,1204773,258493,946280,12708431,TRUE,FALSE,Spanish
107,Rakin,14043022,2409,51854,5333,1258173,740925,517248,24523589,TRUE,FALSE,Portuguese
108,SolaryHS,13790875,7668,17513,1802,149073,113087,35986,10445269,TRUE,FALSE,French
109,Cellbit,13622899,1718,68813,8264,1293451,746433,547018,18105470,TRUE,FALSE,Portuguese
110,dota2ti_ru,13542302,103,457060,126232,541644,433206,108438,12068376,TRUE,FALSE,Russian
111,uzra,13539369,3480,14181,3683,185506,155754,29752,20715640,TRUE,FALSE,Chinese
112,OverwatchLeague,13419390,408,254493,33132,1796619,1713421,83198,27099682,TRUE,FALSE,English
113,Thijs,13243688,1812,24923,7180,755116,686559,68557,15548337,TRUE,FALSE,English
114,Swagg,13167024,1806,74199,6309,784966,61884,723082,7527027,TRUE,FALSE,English
115,TeePee,13161635,2834,78741,4410,520519,282262,238257,17102146,TRUE,TRUE,English
116,LVNDMARK,13140353,3323,96236,3688,248829,4534,244295,8815201,TRUE,FALSE,English
117,Agraelus,12997791,2825,23555,4642,414951,282826,132125,20334558,TRUE,TRUE,Czech
118,BLASTPremier,12563470,421,113167,24689,501371,185461,315910,21104122,TRUE,FALSE,English
119,cloakzy,12467054,1695,40497,6743,2138294,1580187,558107,14533643,TRUE,FALSE,English
120,aceu,12410350,1969,26141,6328,859439,95950,763489,15894732,TRUE,TRUE,English
121,shuteye_orange,12142518,5432,7441,2217,85247,55698,29549,18572922,TRUE,TRUE,Chinese
122,Elraenn,12106325,853,65543,13224,1223076,550098,672978,20881140,TRUE,FALSE,Turkish
123,Elajjaz,12100001,2429,13080,4922,346566,308683,37883,12800182,TRUE,FALSE,English
124,CDNThe3rd,12042711,2238,55752,4919,2009972,1842268,167704,15136396,TRUE,FALSE,English
125,POW3Rtv,12025815,2965,69009,3836,1080764,585692,495072,23271722,TRUE,FALSE,Italian
126,IzakOOO,11951606,2153,43050,4463,1461767,1175300,286467,23586902,TRUE,FALSE,Polish
127,DreadzTV,11927411,1829,35865,6249,675908,618460,57448,32228705,TRUE,TRUE,Russian
128,ddahyoni,11864411,2541,17253,4534,322895,275949,46946,15586820,TRUE,FALSE,Korean
129,WePlayEsport_EN,11747050,1796,87751,6127,175061,37832,137229,17857171,TRUE,FALSE,English
130,ElmiilloR,11440949,2102,45726,5163,426716,236869,189847,20714971,TRUE,FALSE,Spanish
131,Squeezie,11132963,496,158972,19260,2149306,1273628,875678,21128175,TRUE,FALSE,French
132,allkeyshop_tv,11053099,8117,6075,1361,67472,40535,26937,55639770,TRUE,FALSE,English
133,Domingo,11041714,1094,102022,11423,829700,553300,276400,23040428,TRUE,FALSE,French
134,PlayHearthstone,11017920,686,43877,13154,825727,786662,39065,28719610,TRUE,FALSE,English
135,ESL_DOTA2,11017487,3534,99858,4714,337177,245854,91323,14784068,TRUE,FALSE,English
136,Kitboga,10939422,1346,20913,7394,772055,440149,331906,8392545,TRUE,FALSE,English
137,DansGaming,10886354,3126,33646,3270,817365,787950,29415,13757678,TRUE,FALSE,English
138,mobilmobil,10878084,2102,16497,5303,446426,412064,34362,20520762,TRUE,TRUE,Chinese
139,Destiny,10848509,2712,24101,3894,571183,455491,115692,8579344,TRUE,TRUE,English
140,woowakgood,10839412,2648,14177,4100,591500,383925,207575,18626351,TRUE,FALSE,Korean
141,RATIRL,10829360,2418,14480,4420,423002,173954,249048,14109245,TRUE,TRUE,English
142,bratishkinoff,10772218,1013,56790,10626,1128907,739639,389268,25254350,TRUE,FALSE,Russian
143,Yogscast,10743011,7386,54885,1384,961860,834176,127684,20999649,TRUE,FALSE,English
144,lol_ambition,10657433,1890,57254,5332,362297,253799,108498,17248420,TRUE,FALSE,Korean
145,jukes,10467987,1277,24263,8165,1327059,973483,353576,19915875,TRUE,FALSE,Portuguese
